,actors,average,country,director,genre,language,link,release_date,runtime,title,votes,writer
6,"['汤姆·哈迪', '加里·奥德曼', '劳米·拉佩斯', '乔尔·金纳曼', '帕迪·康斯戴恩', '杰森·克拉克', '文森特·卡索', '泽维尔·阿特金斯', '马克·路易斯·琼斯', '法瑞斯·法瑞斯', '卡雷尔·多布雷', '阿格涅兹卡·格罗乔斯卡', 'Petr Vanek', '尤拉西纳·拉尔迪', '迈克尔·纳尔多内', '洛蒂·斯蒂尔']",6.6, 美国,丹尼尔·伊斯皮诺萨,"['剧情', '惊悚', '犯罪']", 英语 / 俄语,https://movie.douban.com/subject/2363942/,2015-04-17(美国),137分钟,44号孩子 Child 44,5439,"['理查德·普莱斯', '汤姆·罗伯·史密斯']"
7,"['方·基默', '凯瑞-安·莫斯', '本杰明·布拉特', '汤姆·塞兹摩尔', '西蒙·贝克']",6.6, 美国 / 澳大利亚,Antony Hoffman,"['动作', '科幻', '惊悚']", 英语,https://movie.douban.com/subject/1304496/,2000/11/6,106 分钟,红色星球 Red Planet,4716,"['Chuck Pfarrer', 'Jonathan Lemkin']"
8,"['秦岚', '方中信', '汪裴']",6.6, 中国大陆,俞钟,"['剧情', '爱情', '家庭']", 汉语普通话,https://movie.douban.com/subject/6855108/,2012-07-17(中国大陆),97分钟,母语,2711,['王海平']
9,"['阮如琼', '陈女燕溪', '阮芳茶眉', '黎武隆', '玛雅', '清美']",6.6, 越南,阮芳英,['剧情'], 越南语,https://movie.douban.com/subject/3692826/,2018-09-07(多伦多电影节),96分钟,三太太 V? Ba,3106,['阮芳英']
10,"['维尔日妮·埃菲拉', '阿黛尔·艾克萨勒霍布洛斯', '加斯帕德·尤利尔', '劳尔·卡拉米', '保罗·艾米', '桑德拉·惠勒', '尼尔斯·施内德', 'Natascha Wiese']",6.6, 法国 / 比利时,茹斯汀·特里叶,"['剧情', '喜剧']", 法语 / 英语,https://movie.douban.com/subject/30365915/,2019-05-24(戛纳电影节),100分钟,西比勒 Sibyl,2597,"['阿图·阿拉里', '茹斯汀·特里叶']"
11,"['哀川翔', '鹤见辰吾', '铃木砂羽', 'RED RICE', '木村佑一', '川岛邦裕', '中野英雄', '山本舞香', '水野绘梨奈', '风间俊介', '洼冢洋介', '宍户佑名', '崔般若', '筱原友希子']",6.6, 日本,品川祐,"['喜剧', '动作', '恐怖']", 日语,https://movie.douban.com/subject/25872196/,2015-05-16(日本),108分钟,Z岛 Zアイランド,2523,['品川祐']
12,"['邱泽', '黄迪扬', '姚以缇', '林育品', '龙劭华', '颜正国', '黄尚禾', '陈汉典']",6.6, 中国台湾,高炳权,['喜剧'], 汉语普通话,https://movie.douban.com/subject/30204446/,2019-10-18(中国台湾),105分钟,江湖无难事 江湖無難事,2002,"['高炳权', '冯勃棣', '蔡顗禾']"
13,"['吉米·巴姆博', '玛莉·艾格洛蒲露丝', '阿莱克斯·潘诺维奇', '柯林·坎宁安', '保罗·麦克吉莱恩', '吉娜·基亚雷利', '薇娜·苏德']",6.6, 加拿大,杰森·R·古德,"['悬疑', '惊悚']", 英语,https://movie.douban.com/subject/26599107/,2015-10-03(釜山电影节),90分钟,麻木 Numb,736,['安德烈·哈登']
14,"['阿尔·帕西诺', '特里尔比·格洛弗', '艾丽西亚·维特', '莉莉·索博斯基', '艾米·布伦尼曼', '威廉·弗西斯', '黛博拉·卡拉·安格', '本·麦肯锡', '尼尔·麦克唐纳', '莱雅·卡里恩斯', '史蒂芬·莫耶', '克里斯托弗·雷德曼', '布莱登·佛雷切', '迈克尔·艾克朗德', '凯利·格泽尔', '克里斯蒂娜·科普兰', 'Tammy Hui', 'Vicky Huang', '维多利亚·坦南特', '米哈尔·雅尼', '保罗·坎贝尔']",6.5, 德国 / 美国 / 加拿大,乔恩·阿维奈,"['剧情', '悬疑', '惊悚']", 英语,https://movie.douban.com/subject/1754927/,2007-03-01(以色列),108分钟,88分钟 88 Minutes,16157,['盖瑞·斯科特·汤普森']
15,"['亚当·桑德勒', '凯丽·拉塞尔', '盖·皮尔斯', '柯特妮·考克斯', '拉塞尔·布兰德', '理查德·格雷弗斯', '泰莉莎·帕尔墨']",6.5, 美国,亚当·尚克曼,"['喜剧', '家庭', '奇幻']", 英语,https://movie.douban.com/subject/2042973/,2008-12-25(美国),99 分钟,睡前故事 Bedtime Stories,13030,"['Matt Lopez', '提姆·赫利希']"
16,"['艾丽·范宁', '斯蒂芬·多尔夫', '米歇尔·莫纳汉', '本尼西奥·德尔·托罗', '罗伯特·舒瓦兹曼']",6.5, 美国 / 英国 / 意大利 / 日本,索菲亚·科波拉,['剧情'], 英语 / 意大利语,https://movie.douban.com/subject/3683521/,2010-09-03(威尼斯电影节),97分钟,在某处 Somewhere,10492,['索菲亚·科波拉']
17,"['伊万·麦克格雷格', '休·杰克曼', '米歇尔·威廉姆斯', '布鲁斯·奥尔特曼', '安德鲁·金斯伯格', '斯蒂芬妮罗斯哈伯尔', '但丁·斯宾诺蒂', 'Melissa Rae Mahon', 'Holly Cruikshank', 'Deborah Yates', '娜塔莎·亨斯屈奇', '夏洛特·兰普林', '比尔·坎普', '佐伊·派瑞', '阿雅·卡什', '李美琪']",6.5, 美国,Marcel Langenegger,"['剧情', '悬疑', '惊悚', '犯罪']", 英语,https://movie.douban.com/subject/1916995/,2008/4/25,107 分钟,玩叛游戏 Deception,8251,['马克·鲍姆贝克']
18,"['李保田', '杨心仪', '李小冉', '秦昊']",6.5, 中国大陆 / 法国,费利普·弥勒,"['剧情', '家庭']", 汉语普通话 / 广西方言 / 法语,https://movie.douban.com/subject/19962587/,2014-10-31(中国大陆),92分钟(中国大陆),夜莺 Le Promeneur d'Oiseau,7181,"['费利普·弥勒', '宁宁']"
19,"['张东健', '李政宰', '李美妍']",6.5, 韩国,郭景泽,"['剧情', '动作', '惊悚', '冒险']", 韩语,https://movie.douban.com/subject/1441499/,2005-12-14(韩国),124分钟,台风 ??,3584,['郭景泽']
0,"['细谷佳正', '村濑步', '楠大典', '花泽香菜', '山下大辉', '三木真一郎', '齐藤次郎', '石井康嗣', '桑岛法子', '武田幸史', '高杉义充', '大塚明夫', '菅生隆之', '二又一成', '长谷川芳明', '堀井茶渡', '广濑裕也']",6.5, 日本,牧原亮太郎,"['动作', '科幻', '动画']", 日语,https://movie.douban.com/subject/26271875/,2015-10-02(日本),120分钟,尸者帝国 屍者の帝国,4397,"['濑古浩司', '后藤绿', '山本幸治', '伊藤计划']"
1,"['白洲迅', '柾木玲弥', '花泽将人', '冈本夏美', '松田流花', '坂之上茜', '大杉涟', '菅谷哲也', '浅川梨奈', '秋山莉奈', '高嶋香帆', '小泽仁志', '樱田通']",6.5, 日本,原桂之介,['剧情'], 日语,https://movie.douban.com/subject/30371824/,2019-02-08(日本),88分钟,后街女孩 Back Street Girls ゴクドルズ,3302,"['Jasmine Gyuh', '伊藤秀裕', '增本庄一郎']"
2,"['前田敦子', '染谷将太', '柄本时生', '加濑亮', '阿迪兹·拉贾波夫']",6.5, 日本 / 乌兹别克斯坦 / 卡塔尔,黑泽清,['剧情'], 日语 / 乌兹别克语,https://movie.douban.com/subject/30186562/,2019-06-14(日本),120分钟,旅途的结束，世界的开始 旅のおわり、世界のはじまり,2061,['黑泽清']
3,"['松冈昌宏', '北村一辉', '唐·弗莱']",6.5, 日本 / 澳大利亚 / 美国 / 中国大陆,北村龙平,"['动作', '科幻', '惊悚', '奇幻', '冒险']", 粤语 / 英语 / 日语,https://movie.douban.com/subject/1422931/,2004-12-04(日本),125分钟,哥斯拉之终极战役 ゴジラ FINAL WARS,1478,"['桐山勋', '北村龙平', '富山省吾', '三村涉']"
4,"['赛琳娜·戈麦斯', '莉顿·梅斯特', '凯蒂·卡西迪', '柯瑞·蒙特斯', '安迪·麦克道威尔', '布莱特·卡伦', '凯瑟琳·塔特', '皮埃尔·布朗格', 'Luke Bracey', 'Grace Holland']",6.4, 美国,托马斯·伯祖查,"['喜剧', '爱情', '冒险']", 英语,https://movie.douban.com/subject/2998412/,2011-07-01(美国),109分钟,蒙特卡洛 Monte Carlo,9964,"['托马斯·伯祖查', 'Maria Maggenti', 'April Blair']"
